"kMEblack"	"kMEbrown"	"kMEgreen"	"kMEmagenta"	"kMEpink"	"kMEyellow"
"TRINITY_DN4757_c0_g1_i1"	0.181249203392765	-0.656587223259086	0.869258529333672	-0.0819461634925961	0.4340895616428	-0.851191563539517
"TRINITY_DN4701_c0_g1_i2"	0.0579719766709904	-0.162030157106332	0.643324607988581	0.0553342925690155	0.0238399427116381	-0.381431109981846
"TRINITY_DN4711_c2_g1_i2"	-0.224937224900599	0.594198920445469	-0.418437966080472	0.16843028274454	-0.131495845318504	0.425753545368512
"TRINITY_DN4711_c8_g1_i1"	-0.0110317588164776	-0.369592659428047	0.615740660801103	-0.0927980349896119	0.42539608262644	-0.457427376245445
"TRINITY_DN4711_c4_g1_i2"	-0.148837286052665	0.00731940315877328	0.563161578466767	0.164546318058367	0.18176048062793	-0.369798537991453
"TRINITY_DN4704_c4_g1_i1"	0.307790665157309	-0.453682642803739	0.476898598756674	-0.0648288605643135	0.446329796875452	-0.603612638204024
"TRINITY_DN4704_c4_g1_i2"	0.181389039774839	-0.029670794005758	-0.0961979906288999	-0.148550413084392	0.404921046139795	0.0882558430622503
"TRINITY_DN4704_c4_g1_i3"	0.325017419260877	-0.762423329633057	0.780267378400845	-0.110528196226602	0.447454062543225	-0.876252630822456
"TRINITY_DN4704_c0_g1_i10"	0.388111380306722	-0.655777269748028	0.871406178579568	-0.125084813913646	0.35825038818407	-0.859193517356955
"TRINITY_DN4704_c0_g1_i16"	0.387654555713305	-0.644190518650066	0.872684115094638	-0.124140700383794	0.35237590721761	-0.8590576901263
