"kMEblack"	"kMEblue"	"kMEbrown"	"kMEgrey"	"kMEred"	"kMEyellow"
"TRINITY_DN8_c0_g1_i8"	-0.26260831652342	0.955775021709392	0.593237003790679	-0.297484691109154	0.200197484220866	-0.221266698462868
"TRINITY_DN8_c0_g1_i3"	-0.182942931542783	0.962909365017124	0.57399531170013	-0.235202887924081	0.336900829608564	-0.317449805073521
"TRINITY_DN8_c0_g1_i5"	-0.277135666680422	0.92596438982539	0.585360466997624	-0.303575181868631	0.161505826148429	-0.181846550933485
"TRINITY_DN86_c0_g2_i1"	-0.36197336966972	0.938472639695636	0.793748273443954	-0.173585547574796	0.145766729361816	-0.14373488186445
"TRINITY_DN86_c0_g1_i1"	-0.133121075399152	0.971189167178368	0.598473489294828	-0.269589416208099	0.34860635673435	-0.397965940678487
"TRINITY_DN43_c0_g2_i1"	-0.14748812498638	0.966458310994281	0.573589638843044	-0.19538509012613	0.381818056785753	-0.369368877416341
"TRINITY_DN63_c0_g1_i3"	-0.150632096498435	0.975611984399541	0.601962463649559	-0.283157530071312	0.347216342310218	-0.381463341237205
"TRINITY_DN63_c0_g1_i2"	-0.220526143763261	0.959292956066635	0.638531828060634	-0.333913255827833	0.298992226875717	-0.311454867745921
"TRINITY_DN22_c0_g1_i6"	-0.140161137664403	0.965825962494003	0.642390068557104	-0.471735017958306	0.257229568010094	-0.337274066972846
"TRINITY_DN74_c0_g1_i1"	-0.358460721665701	0.897101063147139	0.540186924674448	-0.134604469726964	0.124966877161983	-0.151345509804717
"TRINITY_DN15_c0_g1_i1"	-0.291462104730023	0.917550503705636	0.823779142105437	-0.376752496325986	0.0869705317466415	-0.150849223622722
"TRINITY_DN19_c0_g1_i2"	-0.0391496115175735	0.944552197914241	0.582845962516418	-0.371738384640893	0.368481087563958	-0.440472418825275
"TRINITY_DN72_c0_g1_i5"	0.118475020526239	0.384360429298911	0.401014908400561	-0.17493269403374	-0.104570882615965	-0.0190348729685102
"TRINITY_DN72_c0_g1_i13"	0.433529341279675	-0.25288869240783	-0.125795639740863	0.112921241087337	0.0651682623553711	-0.0616844195161672
"TRINITY_DN72_c0_g1_i7"	0.13082037029354	0.244312029456318	0.27001610245056	-0.0682573865538902	-0.0792826573390964	-0.00858938877378993
"TRINITY_DN72_c0_g1_i12"	-0.4403412200839	0.651756649395625	0.744717183022874	-0.13011438591466	-0.38067755543967	0.26814172823609
"TRINITY_DN72_c0_g1_i8"	-0.577113115741116	-0.379084470655902	0.105816121500684	0.112108071965936	-0.779721162363616	0.832350176903556
"TRINITY_DN55_c0_g1_i1"	-0.733530693286579	-0.0645384748571968	0.546230666979494	0.370917613056182	-0.8381839204105	0.906245112100848
"TRINITY_DN51_c0_g2_i1"	-0.368679961207486	0.928261522569427	0.727022901077417	-0.0761246959449902	0.0539102825627875	-0.0738867907243111
"TRINITY_DN51_c0_g1_i1"	-0.29646055759248	0.910447630807136	0.742749903709913	-0.139107450568101	0.0198906487287181	-0.076068437238778
"TRINITY_DN91_c0_g2_i1"	0.747325440325871	-0.0461015710152749	-0.703498924965509	-0.0751564091701811	0.849804832806201	-0.827957854038505
"TRINITY_DN40_c0_g1_i3"	-0.238775116348736	0.985676964928253	0.64121888978816	-0.301238246244636	0.280752311892094	-0.302086773844049
"TRINITY_DN40_c0_g1_i2"	-0.260204988584596	0.984724585328586	0.636500062960351	-0.272226707358087	0.299347855698971	-0.286134197819441
"TRINITY_DN50_c0_g1_i4"	-0.132269718082913	0.97639981425319	0.585113211780842	-0.226123521674948	0.373473311557835	-0.37749961893654
"TRINITY_DN50_c0_g1_i1"	-0.448684970509633	0.842085058395064	0.770387273497943	-0.0307984910173296	0.0150688491097798	0.0326461405195443
"TRINITY_DN60_c0_g1_i2"	-0.392950298863351	0.814902098679524	0.934449316749232	-0.289648199907655	-0.143518409212571	0.0747524601773245
"TRINITY_DN60_c0_g1_i12"	-0.239658441248928	0.850470171513409	0.495891710855464	-0.0245530821772802	0.280774503469664	-0.248012411027117
"TRINITY_DN95_c0_g1_i7"	-0.210332119729735	0.963420821810954	0.591212192156529	-0.136409205638246	0.336168482420433	-0.316522118156003
"TRINITY_DN95_c0_g1_i4"	-0.310416011592532	0.94075909590256	0.585371052409333	-0.282235290365106	0.309720371794766	-0.308143149078517
"TRINITY_DN1_c0_g1_i1"	-0.193888228494841	0.976324199915814	0.656443409064016	-0.441636249091445	0.267651058989205	-0.324545945494976
"TRINITY_DN81_c0_g2_i2"	-0.477680781832013	0.349387910556671	0.915662023129485	-0.0233656950991961	-0.559036901613814	0.495796510056431
"TRINITY_DN81_c0_g1_i7"	-0.777214195444932	0.494747380734594	0.912763555866691	0.0426852081461738	-0.583056018189765	0.590140386519667
"TRINITY_DN81_c0_g1_i19"	-0.768784282911444	0.306571606392737	0.867748002696064	0.196018306894886	-0.671349666540863	0.723309586443945
"TRINITY_DN81_c0_g1_i13"	-0.705953470851575	-0.144798136347512	0.494739955737504	0.467244089337561	-0.863346659077808	0.935876427199332
"TRINITY_DN81_c0_g1_i28"	-0.786544671225826	0.395381569678682	0.908314700081419	0.12057197985307	-0.664790550683467	0.690017422844479
"TRINITY_DN81_c0_g1_i1"	-0.822629343139028	0.317389698387805	0.823080593052067	0.215830011224034	-0.697369417261997	0.711666699722402
"TRINITY_DN81_c0_g1_i10"	-0.206988808319753	0.804909748667113	0.729703024024465	-0.493053941926667	0.0859669403965583	-0.205029594400436
"TRINITY_DN81_c0_g1_i20"	-0.495156697756857	0.492123096834658	0.944862928153841	-0.166825730297986	-0.411345889364555	0.383238874400423
"TRINITY_DN99_c0_g1_i4"	-0.199058649497376	0.983204207094236	0.618831120869759	-0.252227915129614	0.325610369582728	-0.34302901803644
"TRINITY_DN3853_c0_g1_i1"	-0.147691011365147	0.969107989992213	0.641339346881086	-0.462759790589682	0.278925536743094	-0.336267335800994
"TRINITY_DN3882_c0_g1_i1"	-0.169842448021994	0.974174132506992	0.638100193462552	-0.377100915981779	0.304975584084244	-0.35729539320674
"TRINITY_DN3887_c0_g1_i1"	-0.207626770280155	0.976922537317853	0.657451698240404	-0.437529391592618	0.282212110466519	-0.318101656559752
"TRINITY_DN3810_c0_g1_i1"	-0.82969729412027	-0.149820715165007	0.408897585612326	0.207854380401564	-0.715285405940887	0.83549892699539
"TRINITY_DN3814_c0_g1_i1"	-0.183415412261928	0.96277940079948	0.579909946807038	-0.163687674942614	0.366032350741586	-0.353913540030265
"TRINITY_DN3852_c0_g1_i2"	-0.22267824828149	0.968329160602891	0.64761375040614	-0.372531811744997	0.300411196191419	-0.311420863902176
"TRINITY_DN3859_c0_g1_i1"	-0.106328022575337	0.962367786262535	0.612436026270166	-0.36239516356298	0.326067182531356	-0.381223192702014
"TRINITY_DN3844_c0_g1_i1"	-0.83570309464674	0.405926131792758	0.744486759682678	-0.122876763473388	-0.474642870086591	0.548760520102263
"TRINITY_DN3873_c0_g1_i1"	-0.0858986682151486	0.950024979257652	0.5510808191921	-0.201574801939464	0.398993809198002	-0.409173632723659
"TRINITY_DN2969_c0_g1_i2"	-0.564863159274436	0.200932531932777	0.829673514488146	0.232253357795903	-0.553842553559701	0.629046650303235
"TRINITY_DN2969_c0_g1_i3"	-0.637824416030382	0.303565491482393	0.871929864828627	0.144275570456684	-0.492152813358803	0.566670871878038
"TRINITY_DN2987_c0_g1_i1"	0.763456857614616	0.0471991575687208	-0.301177086307066	0.110148538972706	0.512309673652576	-0.567436157035448
"TRINITY_DN2056_c0_g1_i1"	-0.188274284730182	0.965216291088976	0.652253417540587	-0.478641526149935	0.245735435463671	-0.325674281639458
