Q28BT8	GO:0050660;GO:0046872;GO:0017150
P61758	GO:0005737;GO:0005829;GO:0043231;GO:0005634;GO:0005844;GO:0016272;GO:0015631;GO:0007017;GO:0006457;GO:0007021
C4NZN9	GO:0005737;GO:0008061;GO:0050832;GO:0050829;GO:0050830;GO:0031640
Q9R1K5	GO:0005680;GO:0031965;GO:0005654;GO:0010997;GO:1990757;GO:0031145;GO:0007049;GO:0051301;GO:0006281;GO:0070306;GO:0090344;GO:1905786;GO:0008284;GO:0045732;GO:1904668;GO:0016567;GO:0040020;GO:0072425
Q8N5Z0	GO:0005759;GO:0047536;GO:0016212;GO:0042803;GO:0030170;GO:0008483;GO:0006103;GO:1901605;GO:0009058;GO:0006536;GO:0070189;GO:0033512;GO:0006554;GO:0006569
Q9VRV7	GO:0071013;GO:0071011;GO:0005689;GO:0005686;GO:0005684;GO:0003729;GO:0000398
P36542	GO:0016020;GO:0005743;GO:0005759;GO:0005753;GO:0000275;GO:0005739;GO:0046933;GO:0003723;GO:0006754;GO:0015986;GO:0042407;GO:0042776;GO:0006119
P50607	GO:0005929;GO:0005737;GO:0005829;GO:0005576;GO:0005634;GO:0005886;GO:0001664;GO:0120160;GO:0044877;GO:0042073;GO:0006910;GO:0045494;GO:0050766;GO:0061512;GO:1903546;GO:0097500;GO:0008277;GO:0009725;GO:0060041;GO:0007605
O08585	GO:0030118;GO:0030132;GO:0030130;GO:0071439;GO:0030125;GO:0005905;GO:0030136;GO:0031410;GO:0098978;GO:0005886;GO:0098843;GO:0099631;GO:0098835;GO:0005819;GO:0030672;GO:0032050;GO:0051020;GO:0042277;GO:0044877;GO:0005198;GO:0007049;GO:0051301;GO:0048268;GO:0072583;GO:0006886
B8B9K6	GO:0015934;GO:0003723;GO:0003735;GO:0006412
Q99LH1	GO:0005730;GO:0005525;GO:0042254
Q5F478	
Q4N655	GO:0005737;GO:0005634;GO:0005840;GO:0008097;GO:0003735;GO:0006412
Q54DU9	GO:0005737;GO:0016020;GO:0005634;GO:0004725;GO:0008138
Q86TV6	GO:0005829;GO:0005886;GO:0046854;GO:0072659
Q7S7Z6	GO:0005737;GO:0005783;GO:0005788;GO:0016021;GO:0043231;GO:0016018;GO:0003755;GO:0006457;GO:0000413
Q6PBI5	GO:0022627;GO:0003735
Q7RBT0	GO:0022627;GO:0003735;GO:0000028;GO:0006412
Q98SJ2	GO:0005737;GO:0003729;GO:0003723;GO:0007275;GO:0048477
