"173"	"272"
"TRINITY_DN11131_c0_g1_i1"	181.295	0
"TRINITY_DN11163_c0_g1_i1"	304.844	0
"TRINITY_DN11126_c0_g1_i2"	188.019	0
"TRINITY_DN11126_c0_g1_i5"	188.019	0
"TRINITY_DN11143_c0_g2_i4"	182.184	0
"TRINITY_DN6350_c0_g1_i6"	215.73	0
"TRINITY_DN6350_c0_g1_i1"	245.946	0
"TRINITY_DN6350_c0_g1_i15"	190.394	0
"TRINITY_DN6350_c0_g1_i4"	420.138	0
"TRINITY_DN6350_c0_g1_i3"	231.337	0
"TRINITY_DN6350_c0_g1_i10"	236.124	0
"TRINITY_DN6369_c2_g1_i1"	163.366	0
"TRINITY_DN6363_c0_g1_i9"	368.581	0
"TRINITY_DN6363_c0_g1_i2"	143.071	0
"TRINITY_DN86372_c0_g1_i9"	162.458	0
"TRINITY_DN10260_c0_g1_i2"	147.476	0
"TRINITY_DN10212_c0_g1_i6"	192.254	0
"TRINITY_DN10351_c0_g1_i1"	459.896	2.78429
"TRINITY_DN25813_c0_g1_i6"	333.531	0
"TRINITY_DN3564_c0_g1_i3"	477.967	0
"TRINITY_DN3556_c0_g1_i8"	337.495	0
"TRINITY_DN3559_c0_g1_i7"	367.163	19.6412
"TRINITY_DN3559_c0_g1_i11"	120.529	2.32507
"TRINITY_DN42077_c1_g1_i2"	441.381	0
"TRINITY_DN2655_c7_g1_i3"	283.08	15.4782
"TRINITY_DN1777_c103_g1_i1"	195.245	0.0188999
"TRINITY_DN1777_c102_g1_i1"	980.316	0.592901
"TRINITY_DN50312_c3_g1_i2"	510.316	0
"TRINITY_DN24095_c0_g1_i14"	197.096	0
"TRINITY_DN24095_c0_g1_i28"	1885.19	0
"TRINITY_DN24095_c0_g1_i23"	555.523	0
"TRINITY_DN23163_c0_g1_i2"	170.884	0
"TRINITY_DN23260_c0_g3_i4"	143.309	0.127307
"TRINITY_DN23204_c2_g1_i3"	1148.15	0
"TRINITY_DN14160_c0_g1_i3"	148.001	0
"TRINITY_DN31411_c0_g1_i10"	295.969	0
"TRINITY_DN6652_c30_g1_i2"	198.536	0
"TRINITY_DN89344_c0_g1_i4"	598.388	0
"TRINITY_DN22362_c1_g1_i7"	177.739	2.77659
"TRINITY_DN90256_c0_g1_i13"	252.191	0
"TRINITY_DN5703_c2_g1_i1"	312.853	0
"TRINITY_DN180_c1_g1_i1"	168.562	0
"TRINITY_DN148_c0_g1_i16"	290.211	0
"TRINITY_DN30634_c0_g2_i1"	158.891	1.51255
"TRINITY_DN4843_c0_g1_i11"	270.637	0
"TRINITY_DN28986_c0_g1_i3"	399.516	0
"TRINITY_DN19804_c1_g1_i5"	148.84	0
"TRINITY_DN45036_c0_g1_i1"	625.109	0
"TRINITY_DN45084_c4_g1_i3"	1334.11	0
"TRINITY_DN45084_c4_g1_i4"	7120.21	0
"TRINITY_DN20725_c1_g2_i4"	2162.76	0
"TRINITY_DN20733_c0_g1_i5"	331.58	0
"TRINITY_DN20733_c0_g1_i4"	436.692	0
"TRINITY_DN19916_c0_g2_i1"	922.417	0
"TRINITY_DN19928_c0_g1_i1"	176.304	0
"TRINITY_DN9755_c0_g1_i1"	423.057	0
"TRINITY_DN27060_c0_g1_i1"	180.355	0
"TRINITY_DN27092_c1_g1_i2"	1833.93	0
"TRINITY_DN525_c0_g1_i17"	409.75	0
"TRINITY_DN8885_c0_g1_i4"	698.246	0.0303676
"TRINITY_DN8800_c0_g1_i2"	190.02	0
"TRINITY_DN8810_c0_g1_i1"	211.022	0.0846905
"TRINITY_DN2167_c10_g1_i1"	292.889	15.4678
"TRINITY_DN2123_c0_g1_i6"	293.162	0
"TRINITY_DN2108_c0_g1_i24"	208.729	0
"TRINITY_DN2108_c0_g1_i8"	368.396	0
"TRINITY_DN2166_c0_g1_i2"	143.256	0.0272919
"TRINITY_DN2177_c0_g1_i2"	210.133	0
"TRINITY_DN10922_c0_g1_i7"	174.195	0
"TRINITY_DN10922_c0_g1_i10"	2719.6	0
"TRINITY_DN10922_c0_g1_i19"	359.427	0
"TRINITY_DN10922_c0_g1_i12"	188.222	0
"TRINITY_DN10933_c0_g1_i3"	1544.95	0
"TRINITY_DN1281_c0_g2_i2"	154.315	0.0188771
"TRINITY_DN26269_c0_g1_i3"	183.955	0
"TRINITY_DN17231_c0_g1_i3"	181.582	0
"TRINITY_DN17231_c0_g1_i16"	254.031	0
"TRINITY_DN34566_c1_g1_i2"	1127.08	0
"TRINITY_DN51768_c0_g1_i1"	666.376	0
"TRINITY_DN7053_c0_g1_i15"	608.172	0
"TRINITY_DN7073_c0_g1_i8"	160.656	0
"TRINITY_DN42701_c0_g1_i1"	187.329	0
"TRINITY_DN913_c0_g1_i2"	404.19	0
"TRINITY_DN928_c1_g1_i1"	146.21	0
"TRINITY_DN973_c7_g1_i3"	259.947	0
"TRINITY_DN973_c7_g1_i35"	146.436	0
"TRINITY_DN16421_c0_g1_i3"	224.989	0
"TRINITY_DN6166_c0_g1_i5"	266.183	0
"TRINITY_DN6105_c0_g1_i1"	168.491	0
"TRINITY_DN57288_c0_g1_i8"	245.15	0.0187628
"TRINITY_DN65455_c1_g1_i1"	172.454	0
"TRINITY_DN3390_c0_g1_i2"	379.846	0
"TRINITY_DN3335_c1_g1_i7"	184.061	0
"TRINITY_DN39102_c0_g1_i5"	186.772	0
"TRINITY_DN14878_c0_g1_i1"	378.036	0
"TRINITY_DN2473_c0_g1_i7"	200.553	0
"TRINITY_DN2424_c4_g2_i1"	168.404	0
"TRINITY_DN2429_c1_g1_i33"	232.247	0
"TRINITY_DN2429_c0_g1_i10"	205.169	0
"TRINITY_DN31002_c0_g1_i7"	349.323	0
"TRINITY_DN1552_c1_g3_i4"	245.136	0
"TRINITY_DN1571_c3_g1_i8"	339.407	0
"TRINITY_DN1583_c0_g1_i17"	616.994	0
"TRINITY_DN22091_c0_g1_i1"	951.873	0
"TRINITY_DN29242_c1_g1_i1"	154.922	0
"TRINITY_DN46598_c1_g1_i2"	483.394	0
"TRINITY_DN46598_c0_g1_i2"	759.469	0.107147
"TRINITY_DN46598_c0_g1_i6"	650.702	0
"TRINITY_DN46598_c0_g1_i4"	194.902	0
"TRINITY_DN21162_c0_g1_i7"	157.066	4.07017
"TRINITY_DN21133_c2_g1_i2"	387.663	3.95258e-10
"TRINITY_DN21154_c4_g1_i2"	878.459	0
"TRINITY_DN7316_c0_g1_i2"	233.971	0
"TRINITY_DN7300_c0_g1_i11"	252.942	0
"TRINITY_DN7394_c0_g1_i15"	542.217	0
"TRINITY_DN7394_c0_g2_i12"	790.096	0.0308931
"TRINITY_DN7325_c1_g1_i2"	451.052	0
"TRINITY_DN6411_c0_g1_i10"	234.806	0.0274212
"TRINITY_DN6411_c0_g1_i14"	198.277	0.0274212
"TRINITY_DN6407_c15_g1_i1"	862.33	0
"TRINITY_DN6447_c2_g1_i5"	1233.29	0
"TRINITY_DN6447_c2_g1_i10"	574.011	0
"TRINITY_DN45833_c0_g1_i2"	462.168	0
"TRINITY_DN20338_c0_g1_i2"	263.192	0
"TRINITY_DN19580_c1_g1_i1"	951.244	0
"TRINITY_DN20494_c1_g1_i2"	2728.16	0
"TRINITY_DN5544_c1_g1_i3"	273.143	0
"TRINITY_DN5544_c0_g1_i1"	765.272	0
"TRINITY_DN5522_c1_g2_i3"	498.327	0
"TRINITY_DN5522_c1_g2_i1"	361.814	0.240837
"TRINITY_DN5512_c0_g1_i1"	156.903	0
"TRINITY_DN11381_c0_g1_i11"	946.623	0
"TRINITY_DN11390_c0_g1_i2"	478.146	0
"TRINITY_DN11390_c0_g1_i5"	685.422	0
"TRINITY_DN11334_c0_g1_i5"	267.828	0
"TRINITY_DN11334_c0_g1_i18"	435.787	0
"TRINITY_DN44938_c0_g2_i4"	154.39	0
"TRINITY_DN4651_c0_g1_i22"	376.731	0
"TRINITY_DN4621_c0_g1_i2"	542.899	0
"TRINITY_DN4621_c0_g1_i3"	179.02	0
"TRINITY_DN18657_c2_g1_i3"	260.301	14.2026
"TRINITY_DN70284_c2_g1_i1"	1158.88	0
"TRINITY_DN18754_c0_g1_i3"	209.082	0
"TRINITY_DN10574_c0_g1_i4"	236.896	0
"TRINITY_DN17802_c0_g1_i2"	212.469	0
"TRINITY_DN17803_c0_g2_i2"	386.106	0
"TRINITY_DN17953_c2_g1_i1"	9023.95	0
"TRINITY_DN34057_c0_g1_i1"	569.328	0
