"kMEblack"	"kMEbrown"	"kMEgreen"	"kMEgrey"	"kMEpink"	"kMEyellow"
"TRINITY_DN81_c0_g1_i1"	-0.683231386967165	0.379020464148136	0.907667492996208	0.210378644268563	-0.824536011952348	0.693824578170594
"TRINITY_DN81_c0_g1_i10"	0.0901429094489008	0.807154416386747	0.553243552633143	-0.48695477392838	-0.195773877715429	-0.207099711265412
"TRINITY_DN81_c0_g1_i20"	-0.384214599429062	0.565694855263405	0.91783861475699	-0.193769056594402	-0.47670394248204	0.350080907642068
"TRINITY_DN99_c0_g1_i4"	0.329439814875088	0.975580490712112	0.37962711341159	-0.22757317829445	-0.186223255412026	-0.346768226160347
"TRINITY_DN3853_c0_g1_i1"	0.280270891158635	0.965153058986419	0.397182697342397	-0.45781238993706	-0.133114948188128	-0.33851523171625
"TRINITY_DN3882_c0_g1_i1"	0.308928929439933	0.969633744393867	0.38866441289936	-0.36217302064362	-0.154440310118744	-0.366219488178378
"TRINITY_DN3887_c0_g1_i1"	0.282125770943221	0.974881370358341	0.418958195797769	-0.432458927918994	-0.197386031361738	-0.322245704178799
"TRINITY_DN3810_c0_g1_i1"	-0.716989115251935	-0.112796037574581	0.588663481373954	0.207786919175673	-0.831439550756348	0.833833132519959
"TRINITY_DN3814_c0_g1_i1"	0.372427395319592	0.948144548508007	0.352475729384887	-0.142671283719718	-0.162925679077098	-0.361808724870256
"TRINITY_DN3852_c0_g1_i2"	0.29818084382739	0.967675388038901	0.414141259413106	-0.374070829231627	-0.210742218957648	-0.316443220321929
"TRINITY_DN3859_c0_g1_i1"	0.329339475411077	0.955396231060445	0.358065685240001	-0.350752996210173	-0.0855815150109534	-0.388780927554463
"TRINITY_DN3844_c0_g1_i1"	-0.475569521684292	0.438142421975415	0.774664834207528	-0.122894725781999	-0.833232236825858	0.544865200122035
"TRINITY_DN3873_c0_g1_i1"	0.406007306288317	0.933426445103528	0.319067091463651	-0.184697928840927	-0.06099151027658	-0.415851226293896
"TRINITY_DN2969_c0_g1_i2"	-0.528247807380536	0.304333554732223	0.924784186613315	0.222492952685903	-0.56458798611427	0.604831592373884
"TRINITY_DN2969_c0_g1_i3"	-0.460454917706957	0.396286654573079	0.936818921923932	0.124438688244401	-0.642313509487262	0.534419946168113
"TRINITY_DN2987_c0_g1_i1"	0.530451672112745	0.0617897893897694	-0.397532705046623	0.0942081864558196	0.766214193341399	-0.580565553709321
"TRINITY_DN2056_c0_g1_i1"	0.250128445921516	0.966152091387819	0.4139233996145	-0.469094248089777	-0.180546321747631	-0.329482458008716
"TRINITY_DN2045_c0_g1_i1"	0.239570976360063	0.939548265306771	0.388769147203208	-0.511935585571525	-0.120112506423227	-0.338965123396927
"TRINITY_DN2092_c0_g1_i1"	0.303072905546836	0.919947643111543	0.375055404042246	-0.177373928248909	-0.232066315358053	-0.240914031317754
"TRINITY_DN2099_c0_g2_i1"	0.328976285365883	0.963796202881665	0.368326244665385	-0.240498191923916	-0.159136968113716	-0.357781772334468
"TRINITY_DN2099_c0_g1_i1"	0.335387547326839	0.960733198585903	0.361411366281018	-0.161461404881907	-0.175472645213177	-0.354071265778149
"TRINITY_DN446_c0_g1_i2"	0.30294544105584	0.956335774805118	0.369557071326822	-0.412124065026617	-0.143796099092718	-0.310680688818329
"TRINITY_DN412_c0_g1_i1"	-0.0672086704179262	0.199325353836761	0.330055301875582	-0.207569185358196	0.347635176678446	-0.0292184112736066
"TRINITY_DN485_c0_g1_i1"	0.288216415083843	0.984754483688651	0.418296252060074	-0.312247018552753	-0.24216717731783	-0.293654137109211
"TRINITY_DN473_c0_g1_i1"	0.328022663713214	0.923231814098342	0.355572767348266	-0.429665773730665	-0.0997541576463885	-0.373768827862328
