Accession_ID,kME_vals
Q9Y3A3,0
Q5ZJK8,0
Q5ZJK8,0
Q6GVM6,0
Q8N806,0
P20232,0
Q2HJ57,0
Q9CPV4,0
P51464,0
P51464,0
P51464,0
Q91YI0,0
P51464,0
Q03043,0
Q03043,0
Q5E9X2,0
Q5E9X2,0
P46734,0
Q5E9X2,0
Q9VU02,0
Q9CXZ1,0
Q9V3G7,0
Q9Y333,0
Q8WQI7,0
O73817,0
Q9UI14,0
Q9UI14,0
Q9Y3U8,0
Q7ZV34,0
Q95029,0
Q58EN8,0
Q5ZMP6,0
Q9HC07,0
Q5E9B8,0
P52175,0
O01377,0
O01377,0
P61771,0
Q66KU2,0
O89104,0
Q962Q5,0
Q7ZWC4,0
O74362,0
O74362,0
Q148M7,0
P42860,0
P42860,0
Q24740,0
A7Z4X0,0
Q6NVS5,0
Q96IV6,0
Q8NHE4,0
Q8NHE4,0
Q9GRW0,0
Q9QYI5,0
P15178,0
P15178,0
Q7ZV22,0
Q921M7,0
Q921M7,0
Q90YR8,0
P29844,0
Q9V447,0
P07764,0
Q9UKV8,0
Q9UKV8,0
Q64433,0
Q64433,0
P21533,0
P21533,0
P21533,0
P80601,0
P23398,0
O01666,0
Q3T035,0
Q3T035,0
Q3T035,0
Q9GKX6,0
O88407,0
P99028,0
P09917,0
Q9VZ49,0
Q9VZ49,0
Q9V9Z9,0
Q3T134,0
Q5RE33,0
Q66IF1,0
Q5RE33,0
Q3T106,0
Q3T106,0
B3EWE4,0.236641666884884
Q8LC68,0
P08991,0
P08991,0
Q17IN5,0
O97594,0
P49410,0
Q3SZM6,0
Q3SZM6,0
P08537,0
Q9BQE3,0
P61219,0
O35166,0
Q7SXR3,0
Q9UK13,0
Q7K4Q5,0
P56649,0
P56649,0
P56649,0
Q8N511,0
Q5ZKU5,0
Q5ZKU5,0
Q5VTL8,0
Q2KHU8,0
Q2KHU8,0
Q32P84,0
Q32P84,0
Q9DCL2,0
Q90512,0
Q9HFY6,0
Q9HFY6,0
Q94516,0
P12613,0
Q7KRI2,0
Q7KRI2,0
P0CT60,0
P62924,0
P62924,0
F1QRX7,0
Q10567,0
P26599,0
Q05AU4,0
B1A4F7,0
P46101,0
A4Z943,0
B5X186,0
P43278,0
Q6NN85,0
O96347,0
O08651,0
A5GFY8,0
P53611,0
Q24572,0
Q24572,0
P52815,0
Q5F362,0
Q5F362,0
Q9VT65,0
A6QQ14,0
P83916,0
Q9VQ93,0
P19331,0
P19331,0
P91754,0
P07764,0
Q24799,0
Q9D554,0
P57721,0
O76080,0
Q852K5,0
O76080,0
Q852K5,0
O60506,0
O60506,0
P0CG53,0
P0CG53,0
Q9BUN8,0
Q95SX7,0
Q5ZKN2,0
Q5ZKN2,0
P07305,0
P07305,0
P07305,0
Q6PG37,0
Q9VTH4,0
Q00871,0
Q00871,0
Q4WDK5,0
Q4WDK5,0
Q4WDK5,0
Q4WDK5,0
Q08473,0
P14315,0
Q6GLV4,0
Q7ZUS1,0
Q94571,0
Q25009,0
Q1LZB6,0
Q1LZB6,0
Q1LZB6,0
O75897,0
Q86IC9,0
Q9VXX8,0
Q99MZ7,0
O16118,0
Q5E9X4,0
Q9VLS1,0
Q67K79,0
O60268,0
Q8BMB3,0
Q54Q05,0
O97018,0
O97018,0
O97018,0
O97018,0
O42161,0
Q5RF04,0
Q5RF04,0
O93400,0
Q56JU9,0
Q90YQ0,0
O43900,0
Q9CR68,0
Q69BJ9,0
O97790,0
Q02372,0
Q8IV38,0
Q9U516,0
Q9DBR7,0
O88668,0
Q9GMF1,0
Q95V84,0
O93400,0
Q92624,0
Q9UMY4,0
Q05913,0
Q1LUA8,0
Q7RBT0,0
Q6B855,0
Q6B855,0
C0KJQ4,0
O44437,0
O44437,0
Q5ZIG2,0
P0CG82,0
Q4QRJ7,0
C4NZN9,0
Q9SIY8,0
Q9NQP4,0
P80440,0
O99252,0
O99252,0
O99252,0
O99252,0
O99256,0
P30404,0
Q9H0U6,0
Q9XTL9,0
Q9XTL9,0
O15162,0
Q502P7,0
O13082,0
O13082,0
O13082,0
Q28CA1,0
Q32P84,0
Q9Y221,0
P00130,0
P00130,0
Q9D240,0
P57093,0
P57093,0
P48722,0
Q91VZ6,0
Q91VZ6,0
Q5ZK63,0
Q3SZI1,0
P00765,0
P00765,0
Q6DHC3,0
Q99497,0
P00765,0
A7SCH8,0
P24156,0
P24156,0
Q923W1,0
Q9NB32,0
Q9NB32,0
Q3T168,0
Q3T168,0
Q6KF81,0
Q6KF82,0
Q6KF82,0
Q6KF81,0
Q9UKD2,0
Q0V8R6,0
Q0V8R6,0
Q05319,0
C0KJQ4,0
C0KJQ4,0
C0KJQ4,0
Q8BMS4,0
P08648,0
P00765,0
Q03270,0
P07607,0
O61492,0
O17040,0
Q9Y105,0
Q8MJJ1,0
Q9Y241,0
Q9Y241,0
P61485,0
A4FUI1,0
Q28F51,0
P56616,0
P56616,0
Q9NZN5,0
Q9VL13,0
Q9VL13,0
P00687,0
Q23834,0
Q23834,0
A5D8M6,0
A5D8M6,0
Q9VAS7,0
Q9VAS7,0
Q9VAS7,0
Q8NBM4,0
P23934,0
Q2KHU4,0
Q20636,0
Q20636,0
Q7Z2Q7,0
Q95V84,0
Q95V84,0
Q05187,0
Q9D7P6,0
Q1JPH6,0
Q26061,0
Q26061,0
Q26061,0
Q3T0X6,0
Q3T0X6,0
Q5ZK82,0
Q63016,0
Q6C0C4,0
Q6PV61,0
Q6C0C4,0
Q6C0C4,0
Q9ERL7,0
Q8N8S7,0
Q66HV9,0
Q66HV9,0
P90893,0
P90893,0
Q23280,0
Q9D8W5,0
P02993,0
Q2KI95,0
Q2KI95,0
Q2KI95,0
Q2KI95,0
Q2KI95,0
Q60SZ2,0
Q0X0E2,0
P13709,0
P32234,0
Q12905,0
Q12905,0
Q12905,0
P46196,0
A2V9Y8,0
Q502G5,0
P22127,0
Q7ZYA2,0
Q24214,0
Q24214,0
Q9QBY3,0
P0CT83,0
P61284,0
Q7JZM8,0
P62147,0
P62147,0
O95336,0
O95336,0
Q80VC6,0
Q80VC6,0
Q80VC6,0
O18373,0
P47812,0
Q2NL00,0
Q9NZN8,0
Q9VLM5,0
P42867,0
O35210,0
Q8BTV1,0
Q08623,0
P25843,0
P25843,0
P25843,0
P49632,0
Q5FVL2,0
P25169,0
P25169,0
Q9NWH9,0
O01504,0
Q9D7B1,0
Q5F433,0
Q5HGK2,0
Q5HGK2,0
O44386,0
P63048,0
P0CG71,0
P0CG53,0
P0CG53,0
P0CG53,0
P0CG53,0
P0CG53,0
P0CH28,0
P0CG53,0
