"id072_TPM"	"id294_TPM"
"TRINITY_DN393_c5_g1_i2"	155.486	19.9458
"TRINITY_DN393_c68_g1_i2"	241.196	232.576
"TRINITY_DN15239_c1_g1_i10"	401.931	238.345
"TRINITY_DN99434_c0_g2_i1"	577.243	141.056
"TRINITY_DN83146_c0_g1_i1"	327.08	234.209
"TRINITY_DN32586_c1_g1_i4"	254.974	295.944
"TRINITY_DN23447_c0_g1_i1"	170.875	48.2329
"TRINITY_DN23447_c4_g1_i1"	150.14	57.7873
"TRINITY_DN40795_c1_g1_i4"	85.7291	23.2072
"TRINITY_DN31656_c0_g1_i15"	204.693	133.437
"TRINITY_DN4977_c21_g1_i2"	87.3896	48.2845
"TRINITY_DN4977_c58_g1_i2"	96.6709	23.909
"TRINITY_DN4945_c10_g2_i2"	556.931	277.517
"TRINITY_DN22611_c0_g1_i17"	164.793	292.138
"TRINITY_DN798_c0_g1_i30"	187.864	33.3348
"TRINITY_DN798_c0_g1_i11"	921.97	373.961
"TRINITY_DN798_c0_g1_i39"	157.334	266.81
"TRINITY_DN798_c0_g1_i42"	160.236	37.6564
"TRINITY_DN798_c0_g1_i28"	231.511	168.857
"TRINITY_DN792_c6_g1_i18"	166.298	64.3497
"TRINITY_DN763_c3_g1_i15"	175.773	351.113
"TRINITY_DN21898_c1_g1_i1"	135.988	49.5472
"TRINITY_DN21873_c4_g1_i2"	111.451	34.1074
"TRINITY_DN37157_c0_g1_i9"	142.029	227.775
"TRINITY_DN37165_c4_g1_i4"	363.916	258.435
"TRINITY_DN12895_c0_g1_i2"	846.888	222.034
"TRINITY_DN8969_c2_g1_i4"	195.233	33.9097
"TRINITY_DN2239_c27_g2_i14"	215.502	53.1701
"TRINITY_DN2284_c6_g1_i1"	167.324	182.441
"TRINITY_DN2218_c0_g1_i3"	126.114	15.9346
"TRINITY_DN2237_c24_g1_i1"	85.7247	47.6436
"TRINITY_DN28122_c2_g1_i15"	306.947	152.211
"TRINITY_DN28140_c2_g1_i26"	238.15	11.9122
"TRINITY_DN19093_c0_g1_i2"	365.422	50.3447
"TRINITY_DN78934_c0_g1_i1"	69.7376	24.9599
"TRINITY_DN45453_c1_g1_i1"	234.436	12.1108
"TRINITY_DN62683_c0_g1_i5"	79.8053	49.6732
"TRINITY_DN1342_c0_g1_i1"	603.8	29.7297
"TRINITY_DN1350_c1_g1_i17"	142.872	214.511
"TRINITY_DN36396_c1_g1_i10"	67.3951	24.1295
"TRINITY_DN20034_c1_g1_i24"	803.549	250.205
"TRINITY_DN20034_c1_g1_i1"	105.643	24.5947
"TRINITY_DN20034_c1_g1_i11"	970.326	272.703
"TRINITY_DN27236_c1_g1_i1"	178.031	10.1878
"TRINITY_DN27265_c0_g1_i2"	74.3986	27.4854
"TRINITY_DN70810_c3_g1_i1"	84.7153	22.7833
"TRINITY_DN70987_c1_g1_i1"	178.654	58.7769
"TRINITY_DN18228_c1_g1_i2"	169.733	165.612
"TRINITY_DN44665_c0_g1_i26"	197.381	56.8762
"TRINITY_DN18390_c0_g1_i13"	239.749	197.783
"TRINITY_DN7124_c1_g1_i1"	101.858	28.2438
"TRINITY_DN26522_c0_g1_i11"	233.829	96.7721
"TRINITY_DN6206_c1_g2_i3"	176.028	64.7797
